,Skills,Role
0,Programming Process Java Sql Debugging Architecture Writing,JD- Orcale JAVA.docx
1,Testing Electronics Investigate Safety Specifications Programming Computer science Electrical Engineering Operations Protocols Business stakeholders Interactive Communication Training Standardization Modeling Construction Hardware Autocad Transportation Network design Quality assurance Instrumentation Writing Design Technical Process C++ Cad C Improvement System Commissioning Architecture Circuits,Railway Signalling JD-1.docx
2,Linux Docker Java Sql Jira Nosql Oracle Github Debugging Python Shell Scripting,Java Production Support SRE - JD.docx
3,Linux Design Docker Scripting Perl Architecture Nosql Ruby System Shell Queries Database,MongoDB JD.docx
4,Computer science Yaml Engineering Cloud Json Aws Migration,AWS.docx
5,Javascript Linux Reporting Scripting Selenium Unix Java Windows Html Testing .net Oracle Automation Plan System Xml Specifications Database,Job Description QE.docx
